3 xpilots;242 +FDP+
0         	 ?3,2768	_mcount,1088
10649     	 Explode,792	$$remI,316
3539      	 Explode,792	$$divU_14,888
8         	 Pick_startpos,176	$$remI,316
6         	 Pick_startpos,176	Init_player,1036
6         	 Go_home,204	Init_player,1036
12        	 Display_compass,1272	Init_player,1036
12        	 Init_player,1036	$$remI,316
76        	 Set_labels,396	Set_label_strings,508
0         	 Set_label_strings,508	Reset_all_players,120
0         	 Delete_shot,420	Delete_player,276
32        	 Explode,792	Kill_player,484
146148    	 Update_objects,3828	$$remI,316
163       	 Place_item,444	Update_objects,3828
197       	 Move_smart_shot,528	Update_objects,3828
41946     	 Display_compass,1272	Update_objects,3828
1997      	 Cannon_fire,700	Update_objects,3828
34        	 Go_home,204	Update_objects,3828
0         	 Set_message,80	Update_objects,3828
32        	 Kill_player,484	Update_objects,3828
5233      	 Thrust,904	Update_objects,3828
17367     	 Update_objects,3828	Check_collision,4844
73929     	 Delete_shot,420	Update_objects,3828
17367     	 Compute_game_status,4	Update_objects,3828
65        	 Rate,48	$$divoI,448
19        	 Set_message,80	Check_collision,4844
264       	 Delta_mv,404	Check_collision,4844
11749     	 Check_collision,4844	$$remI,316
16        	 atexit,2028	Check_collision,4844
65        	 Rate,48	Check_collision,4844
5135      	 Check_collision,4844	Landing,648
39        	 Explode_object,640	Check_collision,4844
65        	 Set_label_strings,508	Check_collision,4844
10        	 atexit,2028	Landing,648
10        	 Set_message,80	Landing,648
5127      	 Landing,648	$$remI,316
0         	 CreateServerSocket,208	CreateClientSocket,216
0         	 main,464	SocketRead,244
1         	 CreateServerSocket,208	SocketClose,92
3         	 CreateServerSocket,208	CreateDgramSocket,160
20        	 CreateServerSocket,208	DgramSend,228
20        	 CreateClientSocket,216	DgramSend,228
20        	 main,464	DgramSend,228
20        	 CreateServerSocket,208	DgramReceiveAny,120
0         	 CreateClientSocket,216	DgramReceive,176
0         	 main,464	DgramReceive,176
0         	 DgramReceiveAny,120	DgramReceive,176
0         	 main,464	DgramInthandler:lib/libsocklib.a(socklib.o),48
0         	 main,464	DgramSendRec,324
0         	 DgramSend,228	DgramSendRec,324
0         	 DgramReceive,176	DgramSendRec,324
0         	 $$divoI,448	$$divU_14,888
